Avg. goals conceded p/m,Avg. goals scored p/m,Avg. time 1st goal conced.,Avg. time 1st goal scored,Biggest defeat,Biggest victory,Clean sheets,Draws,Equipo,Failed to score,Goals against,Goals for,Losses,Matches played,Points,Torneo,Wins
0.5,1.75,75m,43m,-,4 - 0,4,3,Nigeria,1,4,14,0,8,18,WC Qualification Africa - 2018 Russia,5
0.88,1.12,46m,60m,-,2 - 0,4,1,Nigeria,3,7,9,2,8,16,African Nations Championship - 2018 Morocco,5
0,0,-,-,-,-,0,0,Japón,0,0,0,0,0,0,World Cup - 2018 Russia,0
1.5,1,32m,65m,-,-,0,1,Japón,0,3,2,1,2,1,Friendlies - 2018,0
0.25,2,7m,34m,-,4 - 0,3,0,Japón,0,1,8,1,4,9,Asian Cup - 2015 Australia,3
0.39,2.44,59m,30m,1 - 2,6 - 0,12,3,Japón,2,7,44,2,18,42,WC Qualification Asia - 2018 Russia,13
1.67,1.33,51m,59m,-,1 - 0,1,0,Japón,0,5,4,1,3,6,EAFF E-1 Football Championship - 2017 Japan,2
0,0,-,-,-,-,0,0,Polonia,0,0,0,0,0,0,World Cup - 2018 Russia,0
1.5,1.5,73m,32m,-,3 - 2,0,0,Polonia,1,3,3,1,2,3,Friendlies - 2018,1
0.4,0.8,57m,36m,-,1 - 0,3,1,Polonia,1,2,4,1,5,10,European Championship - 2016 France,3
1,3.3,44m,27m,-,8 - 1,4,3,Polonia,0,10,33,1,10,21,EC Qualification - 2016 France,6
1.4,2.8,55m,24m,-,6 - 1,2,1,Polonia,1,14,28,1,10,25,WC Qualification Europe - 2018 Russia,8
0,0,-,-,-,-,0,0,Polonia,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Senegal,0,0,0,0,0,0,World Cup - 2018 Russia,0
0.5,0.5,20m,63m,-,-,1,2,Senegal,1,1,1,0,2,2,Friendlies - 2018,0
0.5,1.5,10m,20m,-,2 - 0,3,1,Senegal,1,2,6,1,4,7,Africa Cup of Nations - 2017 Gabon,2
0,3,-,1m,-,3 - 0,1,0,Senegal,0,0,3,0,1,3,Africa Cup of Nations Qualification - 2019 Cameroon,1
0.62,1.88,33m,41m,-,3 - 0,5,3,Senegal,1,5,15,0,8,18,WC Qualification Africa - 2018 Russia,5
2,1.75,-,-,-,3 - 1,0,1,Senegal,1,8,7,1,4,7,African Nations Championship - 2018 Morocco,2
0,0,-,-,-,-,0,0,Panamá,0,0,0,0,0,0,World Cup - 2018 Russia,0
2.33,0.33,45m,90m,-,1 - 0,1,0,Panamá,2,7,1,2,3,3,Friendlies - 2018,1
0.75,1.5,49m,51m,-,3 - 0,1,1,Panamá,1,3,6,1,4,7,CONCACAF Gold Cup - 2017 USA,2
0.94,1,32m,51m,0 - 4,3 - 0,8,5,Panamá,6,15,16,5,16,23,WC Qualification CONCACAF - 2018 Russia,6
0.4,0.8,33m,52m,-,2 - 1,3,1,Panamá,2,2,4,1,5,10,Copa Centroamericana - 2017 Panama,3
3.33,1.33,25m,8m,-,2 - 1,0,0,Panamá,1,10,4,2,3,3,Copa America - 2016 USA,1
0,0,-,-,-,-,0,0,Túnez,0,0,0,0,0,0,World Cup - 2018 Russia,0
0,1,-,36m,-,1 - 0,2,0,Túnez,0,0,2,0,2,6,Friendlies - 2018,2
1.75,1.5,55m,37m,0 - 2,4 - 2,0,0,Túnez,2,7,6,2,4,6,Africa Cup of Nations - 2017 Gabon,2
0,1,-,48m,-,1 - 0,1,0,Túnez,0,0,1,0,1,3,Africa Cup of Nations Qualification - 2019 Cameroon,1
0.75,1.88,36m,51m,-,4 - 1,3,2,Túnez,1,6,15,0,8,20,WC Qualification Africa - 2018 Russia,6
0,0,-,-,-,-,0,0,Colombia,0,0,0,0,0,0,World Cup - 2018 Russia,0
1,1.5,11m,28m,-,3 - 2,1,1,Colombia,1,2,3,0,2,4,Friendlies - 2018,1
1,1.17,26m,14m,-,2 - 0,3,0,Colombia,2,6,7,2,6,12,Copa America - 2016 USA,4
1.06,1.17,41m,47m,0 - 3,2 - 0,7,6,Colombia,5,19,21,5,18,27,WC Qualification South America - 2018 Russia,7
0,0,-,-,-,-,0,0,Suiza,0,0,0,0,0,0,World Cup - 2018 Russia,0
0,3.5,-,40m,-,6 - 0,2,0,Suiza,0,0,7,0,2,6,Friendlies - 2018,2
0.5,0.75,28m,48m,-,1 - 0,2,2,Suiza,1,2,3,1,4,5,European Championship - 2016 France,1
0.8,2.4,62m,43m,0 - 2,7 - 0,5,0,Suiza,3,8,24,3,10,21,EC Qualification - 2016 France,7
0.58,2,64m,35m,-,5 - 2,8,1,Suiza,2,7,24,1,12,31,WC Qualification Europe - 2018 Russia,10
0,0,-,-,-,-,0,0,Suiza,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Serbia,0,0,0,0,0,0,World Cup - 2018 Russia,0
1,1.5,29m,52m,-,2 - 0,1,0,Serbia,0,2,3,1,2,3,Friendlies - 2018,1
1.62,1,32m,64m,0 - 3,2 - 0,2,1,Serbia,2,13,8,5,8,7,EC Qualification - 2016 France,2
1,2,18m,45m,-,3 - 0,4,3,Serbia,0,10,20,1,10,21,WC Qualification Europe - 2018 Russia,6
0,0,-,-,-,-,0,0,Serbia,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Alemania,0,0,0,0,0,0,World Cup - 2018 Russia,0
1,2.4,53m,24m,-,4 - 1,1,1,Alemania,0,5,12,0,5,13,Confederations Cup - 2017 Russia,4
1,0.5,21m,35m,-,-,0,1,Alemania,1,2,1,1,2,1,Friendlies - 2018,0
0.5,1.17,61m,30m,-,3 - 0,4,1,Alemania,2,3,7,1,6,13,European Championship - 2016 France,4
0.9,2.4,58m,31m,-,7 - 0,3,1,Alemania,2,9,24,2,10,22,EC Qualification - 2016 France,7
0.4,4.3,58m,10m,-,8 - 0,6,0,Alemania,0,4,43,0,10,30,WC Qualification Europe - 2018 Russia,10
0,0,-,-,-,-,0,0,Alemania,0,0,0,0,0,0,UEFA Nations League - 2018/2019,0
0,0,-,-,-,-,0,0,Costa Rica,0,0,0,0,0,0,World Cup - 2018 Russia,0
0.5,0.5,36m,14m,-,1 - 0,1,0,Costa Rica,1,1,1,1,2,3,Friendlies - 2018,1
0.6,1.2,49m,28m,-,3 - 0,3,1,Costa Rica,1,3,6,1,5,10,CONCACAF Gold Cup - 2017 USA,3
0.69,1.56,46m,48m,-,4 - 0,7,5,Costa Rica,2,11,25,2,16,32,WC Qualification CONCACAF - 2018 Russia,9
