Comp,EquipoA,EquipoB,GolesA,GolesB,Info,JugadoresA,JugadoresB
European Championship,England,Russia,1,1,/matches/2016/06/11/europe/european-championships/england/russia/2024848/,"[J. Hart, G. Cahill, D. Rose, K. Walker, C. Smalling, A. Lallana, D. Alli, E. Dier, W. Rooney, H. Kane, R. Sterling]","[I. Akinfeev, V. Berezutski, S. Ignashevich, I. Smolnikov, R. Neustädter, G. Shchennikov, O. Shatov, A. Golovin, F. Smolov, A. Kokorin, A. Dzyuba]"
Friendlies,Hungary,Russia,0,3,/matches/2017/06/05/world/friendlies/hungary/russia/2426995/,"[P. Gulácsi, T. Kádár, B. Bese, Á. Lang, S. Hangya, B. Dzsudzsák, Z. Stieber, Z. Kalmár, D. Márkvárt, Á. Nagy, M. Eppel]","[I. Akinfeev, F. Kudryashov, V. Vasin, G. Dzhikiya, Y. Zhirkov, A. Samedov, D. Glushakov, R. Zobnin, A. Golovin, F. Smolov, A. Bukharov]"
Confederations Cup,Russia,New Zealand,2,0,/matches/2017/06/17/world/confederations-cup/russia/new-zealand/2166010/,"[I. Akinfeev, F. Kudryashov, V. Vasin, G. Dzhikiya, Y. Zhirkov, A. Samedov, D. Glushakov, A. Erokhin, A. Golovin, F. Smolov, D. Poloz]","[S. Marinovic, A. Durante, M. Boxall, T. Smith, K. Colvey, D. Wynne, M. McGlinchey, K. Barbarouses, M. Rojas, C. Wood, R. Thomas]"
Confederations Cup,Mexico,Russia,2,1,/matches/2017/06/24/world/confederations-cup/mexico/russia/2166014/,"[G. Ochoa, H. Moreno, M. Layún, D. Reyes, N. Araújo, A. Guardado, H. Herrera, J. dos Santos, C. Vela, Javier Hernández, H. Lozano]","[I. Akinfeev, F. Kudryashov, V. Vasin, G. Dzhikiya, Y. Zhirkov, A. Samedov, D. Glushakov, A. Erokhin, A. Golovin, F. Smolov, A. Bukharov]"
Friendlies,Russia,Korea Republic,4,2,/matches/2017/10/07/world/friendlies/russia/korea-republic/2597893/,"[I. Akinfeev, F. Kudryashov, V. Vasin, G. Dzhikiya, Y. Zhirkov, A. Samedov, A. Erokhin, D. Kuzyaev, Anton Miranchuk, F. Smolov, A. Kokorin]","[Kim Seung-Gyu, Kim Young-Gwon, Kim Joo-Young, Jang Hyun-Soo, Kwon Kyung-Won, Lee Chung-Yong, Koo Ja-Cheol, Jung Woo-Young, Son Heung-Min, Kwon Chang-Hoon, Hwang Ui-jo]"
Friendlies,Russia,Argentina,0,1,/matches/2017/11/11/world/friendlies/russia/argentina/2427001/,"[I. Akinfeev, F. Kudryashov, V. Vasin, K. Rausch, M. Fernandes, G. Dzhikiya, D. Glushakov, D. Kuzyaev, F. Smolov, A. Kokorin, D. Poloz]","[S. Romero, J. Mascherano, N. Otamendi, G. Pezzella, E. Pérez, Á. Di María, E. Salvio, M. Kranevitter, G. Lo Celso, L. Messi, S. Agüero]"
WC Qualification South America,Uruguay,Peru,1,0,/matches/2016/03/30/south-america/wc-qualifying-south-america/uruguay/peru/2161452/,"[F. Muslera, M. Pereira, M. Victorino, Á. Pereira, S. Coates, Álvaro González, E. Arévalo, C. Sánchez, M. Vecino, L. Suárez, E. Cavani]","[P. Gallese, J. Céspedes, A. Rodríguez, C. Ramos, L. Advíncula, C. Cueva, C. Ascues, R. Tapia, P. Guerrero, C. Pizarro, A. Polo]"
Copa America,Mexico,Uruguay,3,1,/matches/2016/06/06/south-america/copa-america/mexico/uruguay/2178766/,"[A. Talavera, R. Márquez, H. Moreno, M. Layún, D. Reyes, N. Araújo, A. Guardado, J. Aquino, H. Herrera, Javier Hernández, Jesús Corona]","[F. Muslera, M. Pereira, D. Godín, Á. Pereira, J. Giménez, E. Arévalo, N. Lodeiro, C. Sánchez, M. Vecino, E. Cavani, D. Rolan]"
WC Qualification South America,Colombia,Uruguay,2,2,/matches/2016/10/11/south-america/wc-qualifying-south-america/colombia/uruguay/2161468/,"[D. Ospina, F. Díaz, O. Murillo, S. Arias, Y. Mina, A. Aguilar, M. Torres, C. Sánchez, Juan Cuadrado, C. Bacca, L. Muriel]","[F. Muslera, D. Godín, M. Corujo, S. Coates, G. Silva, C. Rodríguez, E. Arévalo, C. Sánchez, M. Vecino, L. Suárez, E. Cavani]"
Copa America,Uruguay,Jamaica,3,0,/matches/2016/06/14/south-america/copa-america/uruguay/jamaica/2178770/,"[F. Muslera, M. Pereira, D. Godín, G. Silva, J. Giménez, Álvaro González, E. Arévalo, N. Lodeiro, C. Sánchez, E. Cavani, A. Hernández]","[A. Blake, A. Mariappa, W. Morgan, J. Taylor, M. Hector, L. Williamson, J. McAnuff, J. Watson, C. Donaldson, G. Barnes, G. McCleary]"
WC Qualification South America,Uruguay,Paraguay,4,0,/matches/2016/09/07/south-america/wc-qualifying-south-america/uruguay/paraguay/2161462/,"[F. Muslera, D. Godín, M. Corujo, G. Silva, J. Giménez, C. Rodríguez, E. Arévalo, C. Sánchez, G. Ramírez, L. Suárez, E. Cavani]","[D. Barreto, P. Da Silva, Pablo Aguilar, S. Candia, J. Moreira, C. Riveros, N. Ortigoza, V. Ayala, Óscar Romero, D. Lezcano, Á. Romero]"
WC Qualification South America,Chile,Uruguay,3,1,/matches/2016/11/16/south-america/wc-qualifying-south-america/chile/uruguay/2161478/,"[C. Bravo, G. Jara, M. Isla, G. Medel, A. Vidal, M. Díaz, J. Fuenzalida, J. Beausejour, P. Hernández, A. Sánchez, E. Vargas]","[F. Muslera, M. Pereira, D. Godín, S. Coates, G. Silva, Álvaro González, E. Arévalo, C. Sánchez, M. Vecino, L. Suárez, E. Cavani]"
WC Qualification South America,Peru,Uruguay,2,1,/matches/2017/03/29/south-america/wc-qualifying-south-america/peru/uruguay/2161492/,"[P. Gallese, A. Rodríguez, A. Corzo, M. Trauco, M. Araujo, Y. Yotún, C. Cueva, R. Tapia, É. Flores, P. Guerrero, A. Carrillo]","[F. Muslera, J. Fucile, M. Pereira, D. Godín, J. Giménez, C. Rodríguez, Álvaro González, C. Sánchez, M. Vecino, L. Suárez, E. Cavani]"
Friendlies,Italy,Uruguay,3,0,/matches/2017/06/07/world/friendlies/italy/uruguay/2388533/,"[G. Donnarumma, A. Barzagli, L. Bonucci, M. Darmian, L. Spinazzola, D. De Rossi, C. Marchisio, A. Candreva, C. Immobile, L. Insigne, A. Belotti]","[F. Muslera, M. Pereira, M. Cáceres, S. Coates, J. Giménez, Álvaro González, C. Sánchez, J. Urretaviscaya, M. Vecino, N. Nández, D. Rolan]"
WC Qualification South America,Paraguay,Uruguay,1,2,/matches/2017/09/06/south-america/wc-qualifying-south-america/paraguay/uruguay/2161499/,"[A. Silva, P. Da Silva, J. Moreira, G. Gómez, J. Alonso, C. Riveros, V. Cáceres, Óscar Romero, M. Almirón, L. Barrios, Á. Romero]","[F. Muslera, M. Pereira, M. Cáceres, D. Godín, J. Giménez, C. Rodríguez, M. Vecino, N. Nández, F. Valverde, L. Suárez, E. Cavani]"
WC Qualification South America,Uruguay,Bolivia,4,2,/matches/2017/10/11/south-america/wc-qualifying-south-america/uruguay/bolivia/2161512/,"[F. Muslera, M. Cáceres, D. Godín, G. Silva, J. Giménez, M. Vecino, G. De Arrascaeta, R. Bentancur, F. Valverde, L. Suárez, E. Cavani]","[C. Lampe, R. Raldes, J. Valverde, José Sagredo, J. Campos, A. Chumacero, D. Bejarano, C. Machado, R. Castro, J. Candía, M. Martins]"
Friendlies,Austria,Uruguay,2,1,/matches/2017/11/14/world/friendlies/austria/uruguay/2641535/,"[H. Lindner, A. Ulmer, A. Dragović, M. Bauer, K. Danso, J. Baumgartlinger, F. Kainz, M. Sabitzer, F. Grillitsch, M. Arnautović, G. Burgstaller]","[M. Silva, M. Pereira, D. Godín, G. Silva, J. Giménez, J. Urretaviscaya, M. Vecino, G. De Arrascaeta, R. Bentancur, F. Valverde, E. Cavani]"
China Cup,Wales,Uruguay,0,1,/matches/2018/03/26/world/china-cup/wales/uruguay/2699537/,"[W. Hennessey, C. Gunter, A. Williams, J. Chester, D. John, B. Davies, A. King, J. Allen, H. Wilson, G. Bale, S. Vokes]","[F. Muslera, D. Godín, G. Varela, J. Giménez, C. Rodríguez, M. Vecino, D. Laxalt, N. Nández, R. Bentancur, L. Suárez, E. Cavani]"
World Cup,Egypt,Uruguay,0,1,/matches/2018/06/15/world/world-cup/egypt/uruguay/2166063/,"[Mohamed El Shenawy, Ahmed Fathy, Mohamed Abdul Shafy, Ahmed Hegazi, Ali Gabr, Abdalla El Said, Tarek Hamed, Mohamed Elneny, Trézéguet, Amr Warda, Marwan Mohsen]","[F. Muslera, M. Cáceres, D. Godín, G. Varela, J. Giménez, M. Vecino, G. De Arrascaeta, N. Nández, R. Bentancur, L. Suárez, E. Cavani]"
WC Qualification South America,Brazil,Uruguay,2,2,/matches/2016/03/26/south-america/wc-qualifying-south-america/brazil/uruguay/2161444/,"[Alisson, João Miranda, Dani Alves, Filipe Luis, David Luiz, Renato Augusto, Luiz Gustavo, Fernandinho, Douglas Costa, Willian, Neymar]","[F. Muslera, J. Fucile, M. Victorino, Á. Pereira, S. Coates, C. Rodríguez, E. Arévalo, C. Sánchez, M. Vecino, L. Suárez, E. Cavani]"
Friendlies,Uruguay,Trinidad and T…,3,1,/matches/2016/05/28/world/friendlies/uruguay/trinidad-and-tobago/2219130/,"[M. Silva, M. Pereira, M. Victorino, Á. Pereira, G. Silva, E. Arévalo, N. Lodeiro, C. Sánchez, M. Vecino, E. Cavani, D. Rolan]","[M. Phillip, A. David, D. Cyrus, W. John, T. Hodge, A. Boucaud, K. Hyland, J. Williams, N. Lewis, S. Winchester, L. Garcia]"
Copa America,Uruguay,Venezuela,0,1,/matches/2016/06/10/south-america/copa-america/uruguay/venezuela/2178768/,"[F. Muslera, M. Pereira, D. Godín, G. Silva, J. Giménez, Álvaro González, E. Arévalo, C. Sánchez, G. Ramírez, E. Cavani, C. Stuani]","[D. Hernández, O. Vizcarrondo, R. Rosales, R. Feltscher, W. Ángel, A. Guerra, T. Rincón, A. Figuera, S. Rondón, J. Martínez, A. Peñaranda]"
WC Qualification South America,Uruguay,Ecuador,2,1,/matches/2016/11/11/south-america/wc-qualifying-south-america/uruguay/ecuador/2161477/,"[F. Muslera, M. Pereira, D. Godín, S. Coates, G. Silva, E. Arévalo, C. Sánchez, M. Vecino, L. Suárez, C. Stuani, D. Rolan]","[E. Dreer, G. Achilier, W. Ayoví, J. Paredes, F. Erazo, C. Noboa, R. Ibarra, J. Orejuela, F. Caicedo, M. Bolaños, Fidel Martínez]"
WC Qualification South America,Uruguay,Brazil,1,4,/matches/2017/03/24/south-america/wc-qualifying-south-america/uruguay/brazil/2161487/,"[M. Silva, M. Pereira, D. Godín, S. Coates, G. Silva, C. Rodríguez, E. Arévalo, C. Sánchez, M. Vecino, E. Cavani, D. Rolan]","[Alisson, João Miranda, Dani Alves, Marcelo, Marquinhos, Renato Augusto, Paulinho, Philippe Coutinho, Casemiro, Neymar, Roberto Firmino]"
Friendlies,Republic of Ir…,Uruguay,3,1,/matches/2017/06/04/world/friendlies/ireland-republic/uruguay/2366955/,"[D. Randolph, S. Ward, K. Long, S. Duffy, C. Christie, G. Whelan, J. Hayes, H. Arter, R. Brady, J. Hendrick, J. Walters]","[E. Conde, M. Pereira, M. Cáceres, S. Coates, J. Giménez, E. Arévalo, C. Sánchez, J. Urretaviscaya, M. Vecino, D. Laxalt, E. Cavani]"
WC Qualification South America,Uruguay,Venezuela,3,0,/matches/2016/10/07/south-america/wc-qualifying-south-america/uruguay/venezuela/2161467/,"[F. Muslera, D. Godín, M. Corujo, S. Coates, G. Silva, C. Rodríguez, E. Arévalo, N. Lodeiro, C. Sánchez, L. Suárez, E. Cavani]","[D. Hernández, O. Vizcarrondo, W. Ángel, M. Villanueva, A. Guerra, T. Rincón, A. González, A. Figuera, J. Añor, S. Rondón, A. Peñaranda]"
WC Qualification South America,Argentina,Uruguay,1,0,/matches/2016/09/02/south-america/wc-qualifying-south-america/argentina/uruguay/2161455/,"[S. Romero, J. Mascherano, P. Zabaleta, N. Otamendi, E. Más, Ramiro Funes Mori, L. Biglia, Á. Di María, L. Messi, L. Pratto, P. Dybala]","[F. Muslera, J. Fucile, D. Godín, M. Corujo, G. Silva, J. Giménez, E. Arévalo, N. Lodeiro, C. Sánchez, L. Suárez, E. Cavani]"
WC Qualification South America,Uruguay,Argentina,0,0,/matches/2017/09/01/south-america/wc-qualifying-south-america/uruguay/argentina/2161497/,"[F. Muslera, M. Cáceres, D. Godín, G. Silva, J. Giménez, C. Rodríguez, Álvaro González, M. Vecino, N. Nández, L. Suárez, E. Cavani]","[S. Romero, G. Mercado, F. Fazio, N. Otamendi, L. Biglia, Á. Di María, G. Pizarro, L. Messi, M. Acuña, P. Dybala, M. Icardi]"
WC Qualification South America,Venezuela,Uruguay,0,0,/matches/2017/10/05/south-america/wc-qualifying-south-america/venezuela/uruguay/2161506/,"[W. Fariñez, V. García, R. Quijada, J. Chancellor, M. Villanueva, T. Rincón, J. Murillo, J. Moreno, S. Rondón, J. Martínez, S. Córdova]","[F. Muslera, M. Pereira, M. Cáceres, D. Godín, J. Giménez, C. Rodríguez, M. Vecino, N. Nández, F. Valverde, L. Suárez, E. Cavani]"
Friendlies,Poland,Uruguay,0,0,/matches/2017/11/10/world/friendlies/poland/uruguay/2641534/,"[A. Boruc, T. Cionek, K. Glik, B. Bereszyński, J. Jach, J. Błaszczykowski, M. Rybus, G. Krychowiak, J. Góralski, K. Grosicki, K. Wilczek]","[M. Silva, G. Silva, G. Varela, J. Giménez, M. Lemos, M. Vecino, G. De Arrascaeta, N. Nández, R. Bentancur, E. Cavani, G. Pereiro]"
China Cup,Uruguay,Czech Republic,2,0,/matches/2018/03/23/world/china-cup/uruguay/czech-republic/2698852/,"[F. Muslera, D. Godín, G. Varela, J. Giménez, M. Vecino, D. Laxalt, G. De Arrascaeta, N. Nández, R. Bentancur, L. Suárez, E. Cavani]","[J. Pavlenka, M. Suchý, T. Gebre Selassie, F. Novák, J. Bořil, P. Kadeřábek, V. Darida, A. Barák, T. Souček, M. Krmenčík, P. Schick]"
Friendlies,Uruguay,Uzbekistan,3,0,/matches/2018/06/08/world/friendlies/uruguay/uzbekistan/2753062/,"[F. Muslera, M. Pereira, M. Cáceres, D. Godín, J. Giménez, M. Vecino, G. De Arrascaeta, N. Nández, R. Bentancur, L. Suárez, E. Cavani]","[E. Suyunov, S. Azamov, S. Mukhammadiyev, R. Ashurmatov, A. Komilov, J. Masharipov, O. Khamrobekov, J. Sidikov, A. Ganiev, A. Turgunbayev, Z. Urinboev]"
WC Qualification Asia,Iran,India,4,0,/matches/2016/03/24/asia/wc-qualifying-asia/iran/india/2028666/,"[M. Mazaheri, P. Montazeri, M. Pouraliganji, R. Rezaeian, E. Hajsafi, O. Ebrahimi, V. Amiri, S. Ezatolahi, M. Taremi, S. Azmoun, A. Jahanbakhsh]","[Gurpreet Singh, A. Khongjee, A. Fernandes, S. Jhingan, N. Das, P. Halder, R. Borges, B. Jairu, J. Lalpekhlua, H. Narzary, U. Singh]"
Friendlies,Iran,Kyrgyzstan,6,0,/matches/2016/06/07/world/friendlies/iran/kyrgyzstan/2236234/,"[A. Haghighi, J. Hosseini, M. Tayebi, E. Pourghaz, D. Mahini, Milad Mohammadi, M. Shojaei, S. Ezatolahi, M. Torabi, K. Ansarifard, M. Taremi]","[P. Matiash, A. Baimatov, S. Shakirov, A. Zemlianukhin, E. Bernhardt, P. Sidorenko, D. Tagoe, T. Rustamov, A. Israilov, F. Musabekov, V. Lux]"
WC Qualification Asia,Syria,Iran,0,0,/matches/2016/11/15/asia/wc-qualifying-asia/syria/iran/2228508/,"[Ibrahim Alma, Alaa Al Shbli, Ahmad Al Salih, Moayad Ajan, Omar Al Midani, Amro Jenyat, Tamer Haj Mohamad, Mahmoud Al Mawas, Khaled Mobayed, Sanharib Malki, Omar Khribin]","[S. Makani, J. Hosseini, M. Pouraliganji, R. Rezaeian, Milad Mohammadi, A. Dejagah, O. Ebrahimi, S. Ezatolahi, K. Ansarifard, M. Taremi, A. Jahanbakhsh]"
WC Qualification Asia,Iran,Qatar,2,0,/matches/2016/09/01/asia/wc-qualifying-asia/iran/qatar/2228495/,"[A. Beiranvand, J. Hosseini, P. Montazeri, R. Rezaeian, A. Dejagah, A. Teymourian, E. Hajsafi, S. Ezatolahi, M. Taremi, S. Azmoun, A. Jahanbakhsh]","[Amine Lecomte-Addani, Boualem Khoukhi, Abdelkarim Hassan, Pedro Miguel Correia, Ahmed Yasser, Rodrigo Barbosa Tabata, Ali Assadalla, Karim Boudiaf, Luiz Ceará, Hassan Khalid, Sebastián Soria]"
